W,Q2,eps,phi,cos_th,cs,dcs
1.725,1.8,0.8493,112.5,0.5,20.036,6.449
1.725,1.8,0.8493,157.5,0.5,15.379,4.722
1.725,1.8,0.8493,-157.5,0.675,16.913,5.75
1.725,1.8,0.8493,-112.5,0.675,22.882,7.296
1.725,1.8,0.8493,-67.5,0.675,26.519,9.056
1.725,1.8,0.8493,-22.5,0.675,25.155,7.306
1.725,1.8,0.8493,22.5,0.675,19.484,6.421
1.725,1.8,0.8493,67.5,0.675,28.51,9.394
1.725,1.8,0.8493,112.5,0.675,26.263,7.821
1.725,1.8,0.8493,157.5,0.675,25.052,7.006
1.725,1.8,0.8493,-157.5,0.825,33.91,8.51
1.725,1.8,0.8493,-112.5,0.825,23.034,7.801
1.725,1.8,0.8493,-67.5,0.825,32.706,9.751
1.725,1.8,0.8493,-22.5,0.825,24.303,7.891
1.725,1.8,0.8493,22.5,0.825,34.532,9.425
1.725,1.8,0.8493,67.5,0.825,30.694,9.443
1.725,1.8,0.8493,112.5,0.825,23.797,7.93
1.725,1.8,0.8493,157.5,0.825,40.465,9.305
1.725,1.8,0.8493,-157.5,0.95,30.86,11.833
1.725,1.8,0.8493,-112.5,0.95,21.805,10.263
1.725,1.8,0.8493,-67.5,0.95,32.367,13.186
1.725,1.8,0.8493,-22.5,0.95,20.552,9.706
1.725,1.8,0.8493,22.5,0.95,34.526,12.608
1.725,1.8,0.8493,67.5,0.95,40.11,14.694
1.725,1.8,0.8493,112.5,0.95,26.324,11.283
1.725,1.8,0.8493,157.5,0.95,18.635,9.184
1.775,1.8,0.838,-157.5,-0.775,6.808,3.523
1.775,1.8,0.838,-112.5,-0.775,23.917,9.417
1.775,1.8,0.838,-67.5,-0.775,17.386,6.697
1.775,1.8,0.838,-22.5,-0.775,8.487,6.334
1.775,1.8,0.838,22.5,-0.775,6.259,5.433
1.775,1.8,0.838,67.5,-0.775,13.41,5.872
1.775,1.8,0.838,112.5,-0.775,12.744,6.852
1.775,1.8,0.838,157.5,-0.775,10.139,4.304
1.775,1.8,0.838,-157.5,-0.525,17.087,4.134
1.775,1.8,0.838,-112.5,-0.525,25.298,7.091
1.775,1.8,0.838,-67.5,-0.525,28.02,5.851
1.775,1.8,0.838,-22.5,-0.525,21.023,7.4
1.775,1.8,0.838,22.5,-0.525,11.738,5.504
1.775,1.8,0.838,67.5,-0.525,22.205,5.192
1.775,1.8,0.838,112.5,-0.525,25.401,7.106
1.775,1.8,0.838,157.5,-0.525,14.386,3.79
1.775,1.8,0.838,-157.5,-0.3,18.815,4.153
1.775,1.8,0.838,-112.5,-0.3,40.454,8.969
1.775,1.8,0.838,-67.5,-0.3,41.139,6.723
1.775,1.8,0.838,-22.5,-0.3,13.74,6.028
1.775,1.8,0.838,22.5,-0.3,31.412,9.188
